Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/purchase,14634,14534,22,428.7503601016214,19.956041000114055,50110.15503799899,38.126007926745935,247.62854485001796,245.9363995387564,22,23,23,24,25,27,53,22000,42000,47000,50000
,Aggregated,14634,14534,22,428.7503601016214,19.956041000114055,50110.15503799899,38.126007926745935,247.62854485001796,245.9363995387564,22,23,23,24,25,27,53,22000,42000,47000,50000
