Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/purchase,15144,15044,23,420.8979786660696,20.28704300028039,49124.15768000028,38.106708927628105,256.2718067064517,254.5795734344862,23,23,24,24,26,29,58,22000,41000,48000,49000
,Aggregated,15144,15044,23,420.8979786660696,20.28704300028039,49124.15768000028,38.106708927628105,256.2718067064517,254.5795734344862,23,23,24,24,26,29,58,22000,41000,48000,49000
