Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/purchase,10492,10392,22,447.00702968777574,20.33333399958792,51129.26169500133,38.15745329775067,177.62302961463695,175.93009185620542,22,23,23,24,25,30,60,23000,48000,50000,51000
,Aggregated,10492,10392,22,447.00702968777574,20.33333399958792,51129.26169500133,38.15745329775067,177.62302961463695,175.93009185620542,22,23,23,24,25,30,60,23000,48000,50000,51000
