Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/purchase,18265,18165,23,298.8088889386307,20.01336099965556,45112.59564299871,38.10095811661648,308.8603222303834,307.1693267623824,23,23,24,24,26,29,49,13000,36000,43000,45000
,Aggregated,18265,18165,23,298.8088889386307,20.01336099965556,45112.59564299871,38.10095811661648,308.8603222303834,307.1693267623824,23,23,24,24,26,29,49,13000,36000,43000,45000
