Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/purchase,16525,16425,23,361.30812591800094,20.08386700072151,50118.782818999534,38.11618759455371,279.60914434225634,277.9171071601549,23,24,24,25,27,31,57,18000,37000,47000,50000
,Aggregated,16525,16425,23,361.30812591800094,20.08386700072151,50118.782818999534,38.11618759455371,279.60914434225634,277.9171071601549,23,24,24,25,27,31,57,18000,37000,47000,50000
